False,"Wed, 31 Jan 2024 08:26:21 +0530",unknown,git commands to manage work,https://adityajoshi.github.io/posts/git_commands_to_manage_work/
False,"Tue, 23 Jan 2024 09:21:08 +0530",unknown,Oracle REGEXP_REPLACE,https://adityajoshi.github.io/posts/oracle_regexp_replace/
False,"Fri, 22 Dec 2023 00:35:57 +0530",unknown,Importance of brackets around variables in Makefile,https://adityajoshi.github.io/posts/brackets_in_makefile/
False,"Wed, 15 Nov 2023 08:36:08 +0530",unknown,Useful commands and scripts,https://adityajoshi.github.io/posts/useful_commands_scripts/
False,"Wed, 12 Jul 2023 06:38:44 +0530",unknown,Mastering yt-dlp,https://adityajoshi.github.io/posts/learn_yt_dlp/
False,"Sat, 18 Mar 2023 20:30:14 +0530",unknown,Useful docker commands,https://adityajoshi.github.io/posts/docker_commands/
False,"Thu, 16 Mar 2023 20:39:18 +0530",unknown,Intro to Dockerfile,https://adityajoshi.github.io/posts/docker_intro/
False,"Wed, 15 Mar 2023 18:17:48 +0530",unknown,Docker setup on mx linux,https://adityajoshi.github.io/posts/docker_in_mxlinux/
False,"Tue, 25 Oct 2022 08:45:13 +0530",unknown,Configure xdg-open for a File or URL,https://adityajoshi.github.io/posts/configure_xdg_open/
False,"Mon, 19 Sep 2022 23:14:34 +0530",unknown,Solve Git submodule Update Error,https://adityajoshi.github.io/posts/git_submodule_error/
False,"Sun, 18 Sep 2022 12:42:54 +0530",unknown,Change Git Remote URL via terminal,https://adityajoshi.github.io/posts/git_change_remote_url/
False,"Sat, 17 Sep 2022 22:58:11 +0530",unknown,Reduce Thinkpad's trackpoint sluggishness on Linux,https://adityajoshi.github.io/posts/thinkpad_trackpoint_linux/
False,"Mon, 02 May 2022 09:07:23 +0530",unknown,Create Oracle database in Oracle Free Tier Cloud,https://adityajoshi.github.io/posts/oracle_instance_in_oci/
False,"Mon, 01 Jan 0001 00:00:00 +0000",unknown,Thanks for stopping by!,https://adityajoshi.github.io/about/
